Load GaoDataSet from /home/sagemaker-user/BigDataSys-Project8/SolubNet/SolubNetD/dataset/Delaney1144.csv ... done (1145 lines, 9.560 seconds) 
# of training graphs/labels:      1030
# of teating graphs/labels:      114
Training Started ...
******************** 1  fold ing.... ********************
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Epoch       TrainLoss        TrainMAE       TrainRMSE         TrainR2         TrainCC       ValidLoss        ValidMAE       ValidRMSE         ValidR2         ValidCC         Time(s)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         0           1.685           1.326           1.821           0.239           0.647           1.209           0.961           1.274           0.655           0.771           2.667
         1           1.274           1.025           1.352           0.580           0.774           1.133           0.916           1.202           0.693           0.827           5.189
         2           1.207           0.989           1.288           0.619           0.798           1.186           0.983           1.252           0.667           0.849           7.775
         3           1.138           0.940           1.223           0.656           0.813           1.085           0.904           1.156           0.716           0.862          10.309
         4           1.095           0.906           1.181           0.680           0.826           1.026           0.858           1.100           0.743           0.869          12.875
         5           1.064           0.883           1.152           0.695           0.835           0.953           0.800           1.030           0.774           0.877          15.406
         6           1.024           0.854           1.113           0.715           0.845           0.844           0.716           0.925           0.818           0.885          17.968
         7           0.964           0.812           1.053           0.745           0.863           0.792           0.662           0.876           0.837           0.886          20.717
         8           0.923           0.777           1.010           0.766           0.875           0.783           0.663           0.867           0.840           0.891          23.258
         9           0.899           0.759           0.987           0.777           0.881           0.750           0.639           0.835           0.852           0.898          25.782
        10           0.885           0.748           0.973           0.783           0.884           0.728           0.625           0.814           0.859           0.899          28.310
        11           0.875           0.740           0.963           0.787           0.886           0.712           0.615           0.799           0.864           0.905          30.853
        12           0.868           0.734           0.956           0.790           0.888           0.699           0.607           0.786           0.869           0.907          33.413
        13           0.860           0.728           0.949           0.793           0.890           0.683           0.598           0.771           0.874           0.910          35.942
        14           0.851           0.721           0.940           0.797           0.892           0.674           0.592           0.762           0.877           0.913          38.469
        15           0.843           0.715           0.932           0.801           0.894           0.663           0.584           0.751           0.880           0.915          41.008
        16           0.837           0.710           0.926           0.803           0.896           0.661           0.585           0.749           0.881           0.915          43.559
        17           0.830           0.705           0.920           0.806           0.898           0.656           0.580           0.745           0.882           0.917          46.151
        18           0.824           0.700           0.914           0.808           0.899           0.654           0.579           0.742           0.883           0.919          48.686
        19           0.817           0.696           0.907           0.811           0.901           0.645           0.571           0.734           0.886           0.922          51.226
        20           0.812           0.693           0.902           0.813           0.901           0.643           0.571           0.732           0.886           0.922          53.765
        21           0.808           0.691           0.899           0.814           0.902           0.639           0.565           0.727           0.888           0.924          56.296
        22           0.803           0.687           0.894           0.817           0.903           0.631           0.562           0.720           0.890           0.923          58.826
        23           0.800           0.684           0.890           0.818           0.904           0.626           0.556           0.715           0.891           0.923          61.354
        24           0.792           0.679           0.883           0.821           0.905           0.621           0.554           0.710           0.893           0.923          63.898
        25           0.788           0.676           0.879           0.823           0.906           0.618           0.550           0.707           0.894           0.923          66.427
        26           0.783           0.672           0.874           0.825           0.907           0.616           0.551           0.706           0.894           0.922          68.962
        27           0.780           0.670           0.871           0.826           0.907           0.614           0.546           0.704           0.895           0.923          71.493
        28           0.773           0.665           0.865           0.828           0.909           0.613           0.546           0.702           0.895           0.922          74.060
        29           0.768           0.661           0.860           0.830           0.910           0.610           0.544           0.700           0.896           0.924          76.596
        30           0.765           0.659           0.858           0.831           0.910           0.612           0.544           0.701           0.895           0.925          79.206
        31           0.755           0.651           0.848           0.835           0.912           0.611           0.546           0.700           0.896           0.922          81.794
        32           0.751           0.648           0.844           0.836           0.913           0.611           0.546           0.700           0.896           0.925          84.446
        33           0.743           0.642           0.836           0.840           0.915           0.631           0.564           0.720           0.890           0.922          87.029
        34           0.747           0.646           0.840           0.838           0.914           0.620           0.554           0.710           0.893           0.923          89.618
        35           0.741           0.641           0.835           0.840           0.915           0.621           0.554           0.710           0.893           0.924          92.206
        36           0.741           0.641           0.835           0.840           0.915           0.624           0.556           0.713           0.892           0.923          94.806
        37           0.735           0.636           0.829           0.842           0.916           0.632           0.561           0.721           0.889           0.922          97.387
        38           0.734           0.635           0.827           0.843           0.917           0.637           0.565           0.726           0.888           0.921          99.969
        39           0.732           0.634           0.825           0.844           0.917           0.630           0.559           0.719           0.890           0.923         102.537
        40           0.732           0.634           0.826           0.843           0.917           0.632           0.561           0.721           0.889           0.923         105.178
        41           0.729           0.632           0.823           0.845           0.918           0.640           0.566           0.729           0.887           0.920         107.761
        42           0.727           0.631           0.821           0.845           0.918           0.634           0.561           0.723           0.889           0.923         110.343
        43           0.728           0.632           0.821           0.845           0.918           0.636           0.562           0.725           0.888           0.921         112.938
        44           0.724           0.629           0.818           0.846           0.919           0.640           0.564           0.729           0.887           0.921         115.515
        45           0.724           0.629           0.817           0.847           0.919           0.637           0.562           0.725           0.888           0.922         118.104
        46           0.723           0.628           0.817           0.847           0.919           0.638           0.563           0.727           0.888           0.921         120.687
        47           0.720           0.626           0.814           0.848           0.920           0.643           0.566           0.731           0.886           0.921         123.293
        48           0.719           0.625           0.812           0.848           0.920           0.641           0.565           0.729           0.887           0.921         125.942
        49           0.718           0.625           0.812           0.849           0.921           0.638           0.563           0.727           0.888           0.922         128.529
        50           0.720           0.626           0.814           0.848           0.920           0.640           0.563           0.729           0.887           0.920         131.187
        51           0.714           0.621           0.808           0.850           0.922           0.643           0.565           0.731           0.886           0.921         133.835
        52           0.715           0.623           0.809           0.850           0.921           0.643           0.564           0.731           0.886           0.921         136.439
        53           0.714           0.622           0.808           0.850           0.922           0.640           0.562           0.729           0.887           0.922         139.066
        54           0.712           0.620           0.806           0.851           0.922           0.639           0.562           0.728           0.887           0.922         141.632
        55           0.712           0.621           0.806           0.851           0.922           0.641           0.562           0.730           0.887           0.922         144.197
        56           0.710           0.619           0.804           0.851           0.923           0.639           0.561           0.728           0.887           0.922         146.902
        57           0.710           0.619           0.804           0.852           0.923           0.635           0.557           0.723           0.889           0.922         149.476
        58           0.709           0.619           0.804           0.852           0.923           0.637           0.558           0.725           0.888           0.922         152.080
        59           0.706           0.616           0.801           0.853           0.924           0.638           0.559           0.727           0.888           0.923         154.640
        60           0.708           0.617           0.802           0.852           0.924           0.640           0.560           0.728           0.887           0.922         157.201
        61           0.705           0.614           0.799           0.853           0.924           0.636           0.557           0.725           0.888           0.922         159.765
